;H1-1;H1-2;H1-3;H2-1;H2-2;H2-3;H3-1;H3-2;H3-3
A0A3Q2I158;1;1;1;1;1;1;1;0;0
A0A3Q2I175;1;1;1;1;1;1;1;1;1
A0A3Q2I177;0;1;1;1;1;1;0;0;0
A0A3Q2I185;1;1;1;1;1;1;1;1;1
A0A3Q2I196;1;1;1;1;1;1;1;1;1
A0A3Q2I1G9;1;1;1;1;1;1;1;0;0
A0A3Q2I1N3;1;1;1;1;1;1;1;1;0
A0A3Q2I1N9;1;1;0;0;0;0;0;0;0
A0A3Q2I1P3;1;0;0;1;0;0;0;0;0
A0A3Q2I1W3;1;1;1;1;1;1;1;1;1
A0A3Q2I2M2;1;1;1;1;1;1;1;1;1
A0A3Q2I2N3;1;1;1;1;1;1;1;1;1
