;P7 VLU heel;P8 VLU heel;P9 VLU heel;P10 VLU heel;P11 VLU heel;P12 VLU heel 
P27824252274;0;0;0;0;0;1
P28070178196;0;0;0;0;0;1
P28161156166;0;1;0;0;0;0
P283005668;0;1;0;0;0;0
P28799518535;0;0;0;0;0;1
P29353351367;0;0;0;0;0;1
P29373125133;0;1;0;0;0;0
P2940192101;0;1;0;0;0;0
P30041112132;0;0;1;0;0;0
P30041146155;1;0;0;0;0;0
P30043128134;0;0;1;0;0;0
P300432135;0;0;1;0;0;0
P300495781;0;0;0;1;0;0
P30084265272;0;0;0;0;0;1
P30085822;0;1;0;0;0;0
P30086124141;0;1;0;0;0;0
P300866976;1;0;0;0;0;0
P30101160179;0;0;0;0;0;1
P30101265280;0;0;0;0;0;1
P30101312329;0;0;0;0;0;1
P30101337344;0;0;0;0;0;1
P30153209221;0;0;0;0;0;1
P30837261281;0;1;0;0;0;0
P30838322346;0;1;0;0;0;0
P31040409423;0;0;0;0;0;1
P31040575585;1;0;0;0;0;0
P31150405423;0;1;0;0;0;0
P31930198209;0;0;0;0;0;1
P31930220228;1;0;0;0;0;0
P3194387114;0;0;0;0;0;1
P319477282;0;0;0;0;0;1
P3194797117;1;0;0;0;0;0
P31948270279;0;1;0;0;0;0
P31948323331;0;1;0;0;0;0
P31994293310;0;0;0;0;1;0
P31994297309;1;0;0;0;0;0
P3199486100;0;1;0;0;0;0
P32926307323;0;0;0;0;0;1
P33176659675;0;1;0;0;0;0
P33241139174;1;0;0;0;0;0
P34897142160;0;0;0;1;0;0
P35221223241;0;0;0;0;0;1
P35221303326;0;0;0;1;0;0
P352227490;0;0;0;0;0;1
P35232180195;0;1;0;0;0;0
P35241532539;0;1;0;0;0;0
P35269183197;0;1;0;0;0;0
P35527345374;0;0;0;1;0;0
P35527428444;0;0;0;0;0;1
P355275159;0;0;0;0;0;1
P35527602623;0;0;0;0;0;1
P3557912351247;0;0;1;0;0;0
P35579608617;0;1;0;0;0;0
P35579851858;0;0;0;0;0;1
P35579886903;0;1;0;0;0;0
P35579911923;0;1;0;0;0;0
P3557993104;0;0;0;0;0;1
P3558011561169;0;1;0;0;0;0
P3558013401359;0;0;0;1;0;0
P3558017701777;0;0;0;1;0;0
P35611422434;0;0;0;0;0;1
P35611560570;1;0;0;0;0;0
P3574914301440;0;0;0;0;0;1
P3574914971504;0;0;0;0;0;1
P3574917141724;0;1;0;0;0;0
P3574918271835;0;0;0;0;0;1
P3574918551862;0;0;0;0;0;1
P35749918930;0;0;1;0;0;0
P357499841001;0;1;0;0;0;0
P35908152179;0;0;1;0;0;0
P35908349362P04259334347P02538334347P48668334347;1;0;0;0;0;0
P359083661;0;0;1;0;0;0
P35908557572;0;0;0;1;0;0
P36542131138;0;1;0;0;0;0
P36542240253;0;1;0;0;0;0
P36578129143;0;1;0;0;0;0
P36578278291;0;0;0;1;0;0
P36871269293;1;0;0;0;0;0
P36952324340;0;0;0;1;0;0
P36955244252;0;1;0;0;0;0
P369559399;0;1;0;0;0;0
P369577988;0;1;0;0;0;0
P37802112127;0;1;0;0;0;0
P38159188195Q96E39188195;0;1;0;0;0;0
P38159311317Q96E39311317;1;0;0;0;0;0
P38646273284;0;1;0;0;0;0
P38646352360;0;1;0;0;0;0
P38646523541;0;0;0;0;0;1
P389192946;1;0;0;0;0;0
P39059197214;0;0;0;0;0;1
P39060541569;0;0;0;0;0;1
P39060632641;0;1;0;0;0;0
