;One;Two;Three;Four;Five;Six
P50552;1;1;1;1;1;1
Q04637;1;1;1;1;1;1
P35232;1;1;1;1;1;1
Q9NQC3;1;1;1;1;1;1
Q969G5;1;1;1;1;1;1
Q04760;1;1;1;1;1;1
Q14195;1;1;1;1;1;1
Q9BXN1;1;1;1;1;1;1
Q06830;1;1;1;1;1;1
P17096;1;1;1;1;1;1
O15371;1;1;1;1;1;1
P50991;1;1;1;1;1;1
P49747;1;1;1;1;1;1
P18428;1;1;1;1;0;1
Q00610;1;1;1;1;0;1
P36543;1;0;1;1;1;1
O75367;1;1;1;1;1;1
P50995;1;1;1;1;1;1
Q9Y3I0;1;1;1;1;1;1
P12273;1;1;1;1;0;1
P33176;1;1;1;1;0;1
P62899;1;1;1;1;1;1
P42766;1;1;1;1;1;1
P13796;1;1;1;1;1;1
P27695;1;1;1;1;1;1
O15230;1;1;0;1;0;1
P18621;1;1;1;1;1;1
P61769;1;1;1;1;1;1
P10809;1;1;1;1;1;1
P63173;1;0;1;1;1;1
Q01105;1;1;1;1;1;1
P07910;1;1;1;1;1;1
P06737;1;1;1;1;1;1
Q8IUX7;1;1;1;1;1;1
Q9BW30;1;1;1;1;1;1
Q13753;1;1;1;1;1;1
P29536;1;0;0;1;0;1
P63241;1;1;1;1;1;1
Q99961;1;1;1;1;1;1
P02760;1;1;1;1;1;1
Q06828;1;1;1;1;1;1
P47985;1;1;0;1;1;1
P36955;1;1;1;1;1;1
P58546;1;1;1;1;1;1
P50990;1;1;1;1;1;1
Q9Y3Z3;1;1;1;1;1;1
Q99436;1;1;1;1;1;1
A0A0B4J1X5;1;1;1;1;1;1
P62280;1;1;1;1;1;1
P62913;1;1;1;1;1;1
Q96AE4;1;1;1;1;1;1
O00159;1;1;1;1;1;1
O60664;1;1;1;1;1;1
P61160;1;1;1;1;1;1
Q7Z406;1;1;1;1;1;1
P62879;1;1;1;1;1;1
P03950;1;1;1;1;1;1
Q01518;1;1;1;1;1;1
P24844;1;1;1;1;1;1
O75083;1;1;1;1;1;1
Q92841;1;1;1;1;1;1
Q9C0C2;1;1;1;1;1;1
P48047;1;1;1;1;1;1
O95171;1;1;1;1;1;1
Q5D862;1;1;1;1;1;1
Q8WX93;1;1;1;1;1;1
P52566;1;1;1;1;1;1
P84243;1;1;1;1;1;1
P17844;1;1;1;1;1;1
P27816;1;1;1;1;1;1
Q14697;1;1;1;1;1;1
P20810;1;1;1;1;1;1
Q15907;1;1;1;1;1;1
A0A0C4DH42;1;1;1;1;1;1
P00325;1;1;1;1;1;1
P25325;1;1;1;1;1;1
P13667;1;1;1;1;0;1
P09525;1;1;1;1;1;1
Q96EP5;1;1;1;0;0;1
P46778;1;1;1;1;1;1
P61981;1;1;1;1;1;1
P13716;1;1;1;1;1;1
P62316;1;1;1;1;0;1
P68366;1;1;1;1;1;1
Q15293;1;1;1;1;1;1
P30050;1;1;1;1;1;1
P32969;1;1;1;1;1;1
P16949;1;1;1;1;1;1
P83731;1;1;1;1;1;1
P35580;1;1;1;1;1;1
P53814;1;0;0;0;0;1
P09669;1;1;1;1;1;1
Q03591;1;1;1;1;1;1
P62277;1;1;1;0;1;1
P36957;1;1;1;1;1;1
Q9NQ38;1;1;1;1;1;1
P00739;1;0;1;1;1;1
Q9Y696;1;1;1;1;1;1
P13010;1;1;1;1;1;1
P21291;1;1;1;1;1;1
P35542;1;1;1;1;1;1
O75874;1;1;1;1;1;1
P41250;1;1;1;1;1;1
P09651;1;1;1;1;1;1
P02730;1;1;1;1;0;1
P17980;1;1;1;1;1;1
P10606;1;1;1;1;1;1
P62736;1;1;1;1;1;1
P62873;1;1;1;1;1;1
P07437;1;1;1;1;1;1
P61158;1;1;1;1;1;1
P50502;1;1;1;1;1;1
Q16181;1;1;1;1;1;1
P31948;1;1;1;1;0;1
P62861;1;1;1;1;1;1
P50914;1;1;1;1;1;1
P26599;1;1;1;1;1;1
P61313;1;1;1;1;1;1
Q6KB66;1;1;1;1;1;1
P50454;1;1;1;1;1;1
P01040;1;1;1;1;1;1
O00515;1;1;1;1;1;1
Q7RTT9;1;1;1;1;1;1
Q9ULV4;1;1;1;1;1;1
P69891;1;1;1;0;1;1
A6NMZ7;1;0;1;1;1;1
Q15019;1;1;1;1;1;1
O00571;1;1;1;1;1;1
Q02413;1;1;1;1;1;1
P25398;1;1;1;1;1;1
P11216;1;1;1;1;1;1
Q16643;1;1;1;1;1;1
P08729;1;1;1;1;1;1
P06753;1;1;1;1;1;1
P08238;1;1;1;1;1;1
Q04837;1;1;1;1;1;1
P46777;1;1;1;1;1;1
P19012;1;1;1;1;1;1
P13611;1;1;1;1;1;1
P00338;1;1;1;1;1;1
P20042;1;1;1;1;1;1
P62424;1;1;1;1;1;1
P54578;1;1;1;1;0;1
Q15404;1;1;1;1;0;1
P61224;1;1;1;1;1;1
Q9NZD4;1;1;1;1;1;1
P04217;1;1;1;1;1;1
P23284;1;1;1;1;1;1
P45974;1;1;1;1;1;1
P29401;1;1;1;1;1;1
P22087;1;1;1;1;1;1
P62847;1;1;1;1;1;1
P20700;1;1;1;1;1;1
Q13442;1;1;1;1;1;1
Q9P2E9;1;1;1;1;1;1
P68036;1;1;1;1;1;1
P84103;1;1;1;1;1;1
P50395;1;1;1;1;1;1
Q13361;1;1;1;0;1;1
Q15233;1;1;1;1;1;1
P55290;1;1;1;1;1;1
P55268;1;1;1;1;1;1
O00479;1;1;1;1;1;1
Q14247;1;1;1;1;1;1
P00568;1;1;1;1;1;1
O95865;1;1;1;1;1;1
Q86V81;1;1;1;1;1;1
Q08554;1;1;1;1;1;1
Q8IVF2;1;1;1;1;1;1
O95678;1;1;1;1;1;1
P02753;1;1;1;1;1;1
P49773;1;1;1;1;1;1
P00441;1;1;1;1;1;1
P43243;1;1;1;1;1;1
P01619;1;1;1;1;1;1
P07919;1;1;1;1;1;1
P13489;1;1;1;1;1;1
Q9NR12;1;1;1;1;1;1
Q9UHD8;1;1;1;1;1;1
P30043;1;1;1;1;1;1
P61626;1;1;1;1;1;1
P05787;1;1;1;1;1;1
P00747;1;1;1;1;1;1
P02458;1;1;1;1;1;1
P27482;1;1;1;1;1;1
Q15084;1;1;1;1;0;1
P07858;1;1;1;1;1;1
Q1KMD3;1;1;1;1;1;1
P07737;1;1;1;1;1;1
Q14204;1;1;1;1;1;1
Q16363;1;1;1;1;1;1
P07738;1;1;1;1;0;1
P30041;1;1;1;1;1;1
Q8N1N4;1;1;1;1;1;1
P60866;1;1;1;1;1;1
P54819;1;1;1;1;1;1
Q6UWY5;1;1;1;1;1;1
Q16658;1;1;1;1;1;1
P06744;1;1;1;1;1;1
P14314;1;1;1;1;1;1
P14854;1;1;1;1;1;1
P06576;1;1;1;1;1;1
P62942;1;1;1;1;1;1
P01031;1;1;1;1;1;1
P06727;1;1;1;1;1;1
P62244;1;1;1;1;1;1
P31946;1;1;1;1;1;1
A0A0J9YXX1;1;1;1;1;1;1
Q07955;1;1;0;1;1;1
P40121;1;1;1;1;1;1
Q2M2I5;1;1;0;1;1;1
P29692;1;1;1;1;1;1
P63261;1;1;1;1;1;1
Q14315;1;1;1;1;1;1
P01762;1;1;1;1;1;1
P53999;1;1;1;1;0;1
Q14764;1;1;1;1;1;1
P12956;1;1;1;1;1;1
O75531;1;1;1;1;1;1
P10412;1;1;1;1;1;1
P08708;1;1;1;1;1;1
